,ticker,quarter,net_income,total_assets,total_debt,cash,shareholder_equity,shares_outstanding,stock_price,roa,log_assets,leverage,liquidity,market_cap,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
1246,OLB,2024q3,-1630258.0,15878853.0,1380246.0,41288.0,6679617.0,1798393.0,2.5901,-0.10266849878892385,16.580498781955466,0.08692353282696175,0.0026001878095351094,4658017.7093,0.6973480229929351,65888.5,11.095719198433983,681164035.1378452,20.339313709025863
1247,OLB,2024q2,-2648012.0,16593801.0,308051.0,53265.0,8274326.0,1797583.0,4.49,-0.15957838713384595,16.62453974984809,0.018564221663258468,0.003209933637266109,8071147.67,0.9754447274617897,60315.67,11.007347216285627,653044616.4527341,20.297156010255385
1248,OLB,2024q1,-2371596.0,18280541.0,462216.0,3319.0,11044230.0,1748423.0,8.4,-0.12973335964181804,16.721347718738343,0.025284590866320643,0.00018155917814467306,14686753.200000001,1.3298123273419695,70754.69,11.166974103061065,595046224.9834774,20.204149649540128
1249,OLB,2023q4,-18172252.0,19728411.0,149039.0,179006.0,12225648.0,1521790.0,5.625,-0.9211209154148299,16.797570337502584,0.007554536449995897,0.009073513320459513,8560068.75,0.7001730092343571,43470.76,10.679843807151837,433112839.72926086,19.886508851853154
1250,OLB,2023q3,-1801738.0,35943728.0,351316.0,87783.0,29863058.0,1514820.0,8.83,-0.05012663127208174,17.397465162376548,0.009774055712863173,0.0024422341500024707,13375860.6,0.4479065941605846,26212.82,10.17400388305173,445792739.99081457,19.915364693433087
1251,OLB,2023q2,-587818.0,37252672.0,442855.0,133777.0,31670740.0,1514820.0,9.1,-0.015779217125686983,17.43323423176088,0.011887872096798854,0.00359107126597523,13784862.0,0.4352554439839423,30266.7,10.317803377242255,364329624.47866035,19.713569577581897
1252,OLB,2023q1,-2615405.0,37736798.0,622419.0,64627.0,32289528.0,1514820.0,12.2,-0.06930648964970477,17.446146250638055,0.016493688733209427,0.0017125724339410037,18480804.0,0.5723466753679397,28033.06,10.24113980694813,328332326.2625294,19.609536843242825
1253,OLB,2022q4,-3181157.0,38653819.0,830186.0,434026.0,34637778.0,1508154.0,10.5,-0.08229864686850218,17.47015613794816,0.021477463843870122,0.011228541221243882,15835617.0,0.45717762265235373,16539.28,9.713493436795847,247871972.40675086,19.328422930535996
1254,OLB,2022q3,-1712562.0,41177888.0,939118.0,2296631.0,37812308.0,1470280.0,15.0,-0.041589359803980236,17.533411971216154,0.022806366368279984,0.05577340440578205,22054200.0,0.5832545318312756,19104.89,9.857699602209362,234283743.87934902,19.272043519420766
1255,OLB,2022q2,-1437954.0,43218537.0,1047128.0,3619974.0,39454177.0,1470280.0,14.0,-0.03327169543013453,17.581780058400675,0.02422867761581101,0.08375975336694068,20583920.0,0.5217171302293291,20702.23,9.937996702919657,214611394.16241816,19.18433948163684
1256,OLB,2022q1,-1455596.0,44949908.0,1135955.0,3637804.0,40820438.0,1451070.0,18.2,-0.03238262467633972,17.621059272161233,0.025271575639264934,0.08093017676476669,26409474.0,0.6469669433728271,46858.53,10.754888341531325,216984358.7631026,19.19533582947418
1257,OLB,2021q4,-2312011.0,45529491.0,406346.0,3470339.0,41380527.0,786217.0,45.9,-0.050780514985331156,17.633870827806348,0.008924896612615326,0.07622178337113411,36087360.3,0.8720855657541529,46408.87,10.745245883737981,143583516.00506175,18.782427416938297
1258,OLB,2021q3,-900354.0,21560959.0,476376.0,1163055.0,20482882.0,786217.0,54.6,-0.04175853216918598,16.886394783535323,0.022094379011620032,0.05394263770920393,42927448.2,2.095771884054207,41011.16,10.621599503770025,122769122.38213871,18.625816095659847
